"package","version"
"Andromeda","v0.4.1"
"BigKnn","v1.0.0"
"CirceR","v1.1.1"
"CohortDiagnostics","v2.1.0"
"CohortMethod","v4.1.0"
"Cyclops","v3.0.0"
"DatabaseConnector","v4.0.2"
"EmpiricalCalibration","v2.1.0"
"Eunomia","v1.0.1"
"EvidenceSynthesis","v0.2.3"
"FeatureExtraction","v3.1.1"
"Hydra","v0.2.0"
"MethodEvaluation","v2.1.0"
"OhdsiSharing","v0.2.2"
"ParallelLogger","v2.0.1"
"PatientLevelPrediction","v4.3.7"
"ROhdsiWebApi","v1.2.0"
"SelfControlledCaseSeries","v3.0.0"
"SelfControlledCohort","v1.5.1"
"SqlRender","v1.7.0"
